tag,regel,kategori
vardagsmat,under-45-min AND (enkel OR medel) AND vanliga råvaror,mood
helgmat,(medel OR avancerad) OR längre tillagningstid,mood
bjudmat,avancerad OR premium-ingredients OR imponerande,mood
comfort-food,krämig AND (pasta OR potatis OR ris),mood
värmande,soppa OR gryta OR (varm + kryddig),mood
uppfriskande,sallad OR (kall + citrus/gurka),mood
snabbfix,under-15-min AND enkel,mood
lyxig,"premium-ingredients (oxfilé, hummer, tryffel)",mood
fredagsmys,taco OR pizza OR hamburgare OR nachos,mood
söndagsmiddag,längre tillagning + traditionellt,mood
vår,"våringredienser (sparris, rabarber, nya grönsaker)",säsong
sommar,"sommaringredienser (jordgubbar, grillat, sallader)",säsong
höst,"höstingredienser (svamp, äpple, kål, vilt)",säsong
vinter,"vinteringredienser (rotfrukter, kål, långkok)",säsong
året-runt,inga säsongsberoende huvudingredienser,säsong
jul,TITEL: jul|julbord ELLER INGREDIENS: (julskinka|revbensspjäll|jansson|lutfisk)+(rödbetssallad|grönkål|julsenap),högtid
lucia,TITEL: lucia|lussebulle|lussekatt ELLER INGREDIENS: saffran+(bulle|bröd),högtid
påsk,TITEL: påsk ELLER INGREDIENS: (lamm|ägg som huvudrätt)+(ägghalva|sill),högtid
midsommar,TITEL: midsommar ELLER INGREDIENS: (sill+färskpotatis)|(jordgubbar+grädde),högtid
kräftskiva,TITEL: kräftskiva|kräftkalas ELLER INGREDIENS: kräftor som huvud,högtid
nyår,TITEL: nyår ELLER INGREDIENS: hummer|ostron|kaviar + festlig kontext,högtid
