id,swedish,status,severity,verdict,add_or_fix,direction,issue,why,verifier_note,current_properties
almond-biscuits,mandelbiskvier,validated,danger,confirmed,egg,missing-property,Mandelbiskvier missing egg (they are almond + sugar + egg white),Biskvier are made on egg white; also tagged plant-based/vegan-friendly which contradicts. (Secondary: contains-gluten is usually wrong — biskvier are typically gluten-free.),"Row 1831 has tree-nut and (oddly) contains-gluten but no egg, plus contradictory vegan-friendly. Biskvier are made on egg white by definition — egg missing is a certain danger. Secondary gluten-present point is a harmless false-contains.","contains-gluten,plant-based,processed,tree-nut,vegan-friendly"
beef-broth,nötbuljong,draft,danger,confirmed,beef,missing-property,Nötbuljong lacks the beef property,"Has animal-product,meat but not beef, so a recipe using nötbuljong/oxbuljong would show falsely free from nötkött. (Buljong products also frequently contain celery — worth checking, but beef is the certain miss.)","Row 94 has animal-product,meat but no beef. Nötbuljong/oxbuljong is by definition beef-derived — false 'free from nötkött' is certain, not conditional.","animal-product,meat"
beef-tallow,talg,draft,danger,confirmed,"meat,beef",missing-property,Talg (nöttalg) lacks meat and beef properties,"Rendered beef fat has only animal-product; recipes with talg would be falsely free from kött and nötkött. Compare bacon-fat, which correctly carries meat,pork.","Row 129 has only animal-product. Talg/nöttalg is rendered beef fat; missing meat and beef gives false 'free from kött/nötkött'. Sibling bacon-fat carries meat,pork, so this is an inconsistency, not a modeling choice.",animal-product
beer,öl,draft,danger,confirmed,contains-gluten,missing-property,Öl lacks contains-gluten,Beer is brewed from barley (and often wheat) malt; standard öl carries gluten unless explicitly gluten-free. A recipe with öl would be falsely marked 'fri från gluten'.,"Row 137 has only contains-alcohol,plant-based,vegan-friendly. Standard öl is brewed from barley/wheat malt and is EU-labeled with gluten grain; missing contains-gluten yields a false 'fri från gluten'. Clear dangerous miss.","contains-alcohol,plant-based,vegan-friendly"
biscoff,biscoff,validated,danger,confirmed,contains-gluten,missing-property,Speculoos/Biscoff cookies missing contains-gluten,Biscoff/speculoos are wheat-flour cookies; false 'fri från gluten' verdict.,"Row 1847: speculoos cookies tagged plant-based/vegan-friendly with no contains-gluten. Biscoff is a wheat-flour cookie, always. Certain false gluten-free, status validated.","plant-based,processed,vegan-friendly"
biscoff-spread,biscoff spread,validated,danger,confirmed,contains-gluten,missing-property,Biscoff spread missing contains-gluten,The spread is ~58% crushed speculoos wheat cookies.,Row 1848: no contains-gluten. Biscoff spread is ~58% crushed wheat speculoos. Certain danger.,"plant-based,vegan-friendly"
bone-marrow,benmärg,draft,danger,confirmed,meat,missing-property,Benmärg lacks meat (and beef) properties,Bone marrow is a beef/veal product (alias 'köttmärg'); with only animal-product it would yield a false 'free from kött/nötkött' verdict for meat avoiders.,"Row 171 has only animal-product; benmärg (alias köttmärg, 'beef marrow') is a beef product. Missing meat/beef → false 'free from kött/nötkött'.",animal-product
bordelaisesås,bordelaisesås,validated,danger,confirmed,sulfites,missing-property,Red-wine sauce missing sulfites (and alcohol/dairy likely),"Bordelaise is built on red wine (sulfites, residual alcohol) and finished with butter; row is plant-based/vegan with no sulfites.","Row 1853 tagged plant-based/vegan-friendly with no sulfites or alcohol. Bordelaise is red-wine-based (declarable sulfites, residual alcohol) and classically butter-finished. Sulfites/alcohol missing is a certain danger; the vegan tag is also wrong.","plant-based,processed,vegan-friendly"
bouillon-cube-beef,buljongtärning nöt,draft,danger,confirmed,beef,missing-property,Beef bouillon cube has meat but lacks the beef property,Buljongtärning nöt is made from beef; without the beef property a recipe using it would be marked free from nötkött. Celery is also a very common ingredient in Swedish bouillon cubes and is absent.,Row 174 has meat but no beef despite the product being beef by name. False 'free from nötkött' is certain. (Celery is common in Swedish buljongtärningar but brand-dependent — the beef miss alone confirms.),"animal-product,meat,processed"
braised-cabbage,brunkål,validated,danger,confirmed,dairy,bad-alias,Alias 'långkål' on a vegan brunkål entry — långkål is a different dish traditionally made with cream/milk,Halländsk långkål is kale cooked in grädde/mjölk (often with ham broth); mapping it to a plant-based/vegan-friendly entry would give a false free-from-mjölk (and possibly meat) verdict. 'Julkål' is similarly ambiguous. Row is validated.,"Aliases 'långkål;julkål' confirmed on a plant-based/vegan brunkål row (validated). Halländsk långkål is kale cooked in grädde/mjölk, often with skinkspad — alias match yields false mjölk-free (and meat-free) verdicts.","plant-based,vegan-friendly"
