test_id,scenario,titel,ingredienser,metadata,expected_tags,expected_allergens,expected_dietary,notes
INT-01,Klassisk svensk vardagsmat,Köttbullar med potatis,"nötfärs, grädde, potatis, lingon, smör, lök","totalTime: 40, servings: 4","nötkött, potatisbaserad, svensk, vardagsmat, comfort-food","dairy: CONTAINS, gluten: FREE, meat: CONTAINS",,
INT-02,Vegansk thai-curry,Grön curry med tofu,"tofu, kokosmjölk, grön currypasta, bambu, thai-basilika, ris","totalTime: 30, servings: 4","tofu, risbaserad, thailändsk, vegansk, stark","dairy: FREE, egg: FREE, meat: FREE",,
INT-03,Halalanpassad kyckling,Kryddig kyckling med ris,"kyckling, ris, tomat, lök, vitlök, spiskummin",totalTime: 45,"kyckling, risbaserad, mellanöstern, halalanpassad",,"halalanpassad: FREE (ej fläsk, ej alkohol)",
INT-04,Barnvänlig pasta,Mild pasta bolognese,"pasta, nötfärs, tomat, morot, lök",totalTime: 35,"nötkött, pastabaserad, italiensk, barnvänlig, mild",,"barnvänlig: FREE (ej starkt, ej alkohol)",
INT-05,Graviditetssäker sallad,Kycklingsallad,"kyckling (tillagad), sallad, tomat, gurka, olivolja",totalTime: 15,"kyckling, sallad, under-15-min, snabbfix",,"graviditetssäker: FREE (ej high-mercury, ej alkohol)",
INT-06,Osäker coverage,Fusionwok,"kyckling, okänd-sås, mystisk-krydda, nudlar",totalTime: 20,"kyckling, nudelbaserad",alla: UNKNOWN (coverage < 100%),,
INT-07,Julmat,Julskinka med tillbehör,"julskinka, grönkål, rödbetssallad, potatis, ägg",totalTime: 120,"fläskkött, potatisbaserad, svensk, jul, helgmat","pork: CONTAINS, egg: CONTAINS",,
INT-08,Kosher-vänlig fisk,Citronlax,"lax, citron, dill, olivolja, potatis",totalTime: 30,"lax, fisk, nordisk",,"kosheranpassad: FREE (ej fläsk, ej shellfish)",
INT-09,Konflikt cuisine,Fusion pasta,"spaghetti, sojasås, ingefära, parmesan",totalTime: 20,"pastabaserad, VÄLJ: italiensk ELLER asiatisk",,,Konflikt - välj baserat på dominans
INT-10,Frysvänlig gryta,Chili con carne,"nötfärs, kidneybönor, tomat, chili, lök, vitlök","totalTime: 60, servings: 8","nötkött, stark, mexikansk, storkok, frysvänlig",,,Inga doesnt-freeze-well ingredienser
