id,swedish,english,group,properties,aliases_sv,aliases_en,search_terms,notes_sv,notes_en,season_availability,typical_storage,typical_unit,price_category,avg_price_sek,carbon_footprint_category,status,created_date,updated_date,created_by,verified_by,ai_generated,export_ready
abalone,öronsnäcka,abalone,protein/seafood/shellfish,"animal-product,mollusc,needs-cooking,seafood",havsöra;paua,paua;ear shell,oronsnacka,Skaldjur. Förvaras fryst.,Shellfish.,year-round,frozen,g,premium,300,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
achiote-paste,achiote pasta,achiote paste,spice/paste,"plant-based,vegan-friendly",achiote annatto,achiote paste annatto,achiote pasta annatto,Mexikansk kryddpasta,Mexican spice paste,year-round,refrigerated,g,premium,110,high,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
adzuki-beans-dried,torkade adzukibönor,dried adzuki beans,vegetable/legume,"needs-cooking,plant-based,vegan-friendly",azukibönor;röda sötbönor,red beans;azuki,adzukibonor,Används i asiatiska desserter,Used in Asian desserts,year-round,ambient,g,budget,25,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-claude,,1,0
agar-agar,agar-agar,agar-agar,other/baking,"plant-based,vegan-friendly",agar agar;agar;vegetabiliskt gelatin;alggel,agar;vegetable gelatin,agar-agar vegetabiliskt,Veganskt gelémedel från alger. Alternativ till gelatin.,Vegan alternative,year-round,ambient,g,medium,50,low,validated,2024-12-07 00:00:00,2025-12-14 00:00:00,ai-claude,,1,0
agave-syrup,agavesirap,agave syrup,other/sweetener,"plant-based,vegan-friendly",agave nektar;ljus agave;mörk agave,agave nectar;light agave,agavesirap agave nectar,Vegan honung-alternativ,Vegan honey alternative,year-round,ambient,ml,medium,60,low,validated,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
aioli,aioli,aioli,other/condiment,"animal-product,doesnt-freeze-well,egg,processed",vitlöksmajonnäs;aioli sås,garlic mayo;garlic aioli,aioli vitlöksmajo,Vitlöksmajonnäs,Garlic mayonnaise,year-round,refrigerated,ml,medium,60,low,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
aladab,aladåb,aladab,protein/meat/pork,"animal-product,meat,pork,processed",köttkorv i gelé,meat in aspic,aladåb;aladab,Fläskkött. Förvaras kallt.,Pork.,year-round,refrigerated,g,medium,80,medium,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-batch,,1,0
alfalfa-sprouts,alfalfagroddar,alfalfa sprouts,vegetable/sprout,"plant-based,vegan-friendly",lusernegroddar,alfalfa,alfalfagroddar;lusernegroddar,Milda groddar för smörgås och sallad.,Mild sprouts for sandwiches and salads.,year-round,refrigerated,bag,medium,80,low,validated,2025-12-06 00:00:00,2025-12-06 00:00:00,ai-batch,,1,0
allspice-ground,malen kryddpeppar,ground allspice,spice/ground,"plant-based,vegan-friendly",kryddpeppar malen,allspice ground,kryddpeppar malen allspice ground,Svenska klassiker,Swedish classics,year-round,ambient,g,medium,100,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
allspice-whole,hel kryddpeppar,whole allspice,spice/ground,"plant-based,vegan-friendly",kryddpeppar hel jamaicapeppar,allspice whole pimento,kryddpeppar allspice jamaicapeppar,Till sill och köttbullar,For herring and meatballs,year-round,ambient,g,medium,100,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
almond-butter,mandelsmör,almond butter,other/nut-seed/tree-nut,tree-nut,mandel smör,almond butter,mandelsmör almond butter,Nötsmör alternativ,Nut butter alternative,year-round,ambient,g,premium,120,medium,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
almond-extract,mandelextrakt,almond extract,spice/ground,"contains-alcohol,plant-based,tree-nut,vegan-friendly",mandel extrakt,almond extract,mandelextrakt almond,Till bakning,For baking,year-round,ambient,ml,medium,70,medium,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
almond-flakes,mandelspån,almond flakes,other/baking,"plant-based,tree-nut,vegan-friendly",mandelflarn;skivad mandel,sliced almonds;flaked almonds,mandelspån almond flakes,Till dekoration,For decoration,year-round,ambient,g,medium,50,medium,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
almond-flour,mandelmjöl,almond flour,grain/flour/gluten-free,"plant-based,tree-nut,vegan-friendly",mandelmel;finmalda mandlar,almond meal;ground almonds,mandelmjöl almond flour,Finmalda mandlar,Finely ground almonds,year-round,ambient,g,premium,200,medium,draft,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
almond-milk,mandeldryck,almond milk,other/beverage,"plant-based,tree-nut,vegan-friendly",mandelmjölk,almond beverage,mandeldryck;mandelmjolk,Växtbaserad mjölkersättning,Plant-based milk alternative,year-round,refrigerated,ml,budget,35,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-claude,,1,0
almond-oil,mandelolja,almond oil,fat/oil,"plant-based,tree-nut,vegan-friendly",mandel olja;söt mandelolja,sweet almond oil,mandelolja almond oil,Mild nötig,Mild nutty,year-round,ambient,ml,medium,100,low,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
almond-paste,mandelmassa,almond paste,other/baking,"plant-based,tree-nut,vegan-friendly",mandelmassa;råmarsipan,raw marzipan;almond paste,mandelmassa almond paste,Högre mandelhalt,Higher almond content,year-round,ambient,g,budget,33,medium,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
almonds,mandlar,almonds,other/nut-seed/tree-nut,"plant-based,tree-nut,vegan-friendly",mandel;hela mandlar;skalade mandlar;oskalade mandlar;rostade mandlar;råa mandlar;saltade mandlar,whole almonds;blanched almonds;roasted almonds;raw almonds,mandlar almonds mandel,Alla varianter som aliases,All varieties as aliases,year-round,ambient,g,premium,130,medium,draft,2024-12-07 00:00:00,2024-12-07 00:00:00,ai-claude,,1,0
amaranth,amarant,amaranth,grain/whole,"plant-based,vegan-friendly",amaranth;amarantfrön,amaranth grain;amaranth seeds,amarant amaranth,Proteinrikt urkorn,Protein-rich ancient grain,year-round,ambient,g,medium,46,low,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
amaranth-flakes,amarantflingor,amaranth flakes,grain/cereal,"plant-based,vegan-friendly",amaranth flingor,amaranth cereal,amarantflingor amaranth,Proteinrika flingor,Protein-rich flakes,year-round,ambient,g,medium,50,low,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
amaretto,amaretto,amaretto,other/beverage,"contains-alcohol,plant-based,tree-nut,vegan-friendly",mandellikör;disaronno,almond liqueur,amaretto,Italiensk mandellikör,Italian almond liqueur,year-round,ambient,ml,medium,60,low,draft,2025-12-13 00:00:00,2025-12-13 00:00:00,ai-claude,,1,0
amberjack,större gulstjärt,amberjack,protein/seafood/fish,"animal-product,fish,needs-cooking,seafood",buri;kanpachi,greater amberjack;kanpachi,storregulstjart,Fisk. Förvaras kallt.,Fish.,year-round,refrigerated,g,medium,100,medium,draft,2025-12-07 00:00:00,2025-12-07 00:00:00,ai-claude,,1,0
amchur,amchur,amchur,spice/ground,"plant-based,vegan-friendly",mangopulver amchoor,amchur mango powder,amchur mangopulver,Syrligt indiskt pulver,Sour Indian powder,year-round,ambient,g,medium,90,medium,validated,2024-12-06 00:00:00,2024-12-06 00:00:00,ai-claude,,1,0
