id,topic,note,priority
IMP-01,Beräkningsordning,Beräkna i ordning: 1) Coverage 2) AllergenStatus 3) DietaryStatus 4) Fas1-taggar 5) Fas2 6) Fas3 7) Fas4,KRITISK
IMP-02,Boolean från tri-valued,"När Fas2/3/4 behöver boolean: FREE → true, CONTAINS → false, UNKNOWN → false (konservativt)",KRITISK
IMP-03,Huvudingrediens-definition,Huvudingrediens = >15% av total vikt ELLER explicit markerad som huvudrätt i receptet,HÖG
IMP-04,Basråvaror undantag,"Vid få-ingredienser, exkludera: salt, peppar, vatten, olja (<=2 msk), socker (<=1 msk)",MEDIUM
IMP-05,Cuisine-prioritering,Vid konflikt: 1) Titel-match 2) Fler positiva triggers 3) Specifik före generell. Max 2 cuisines.,HÖG
IMP-06,Negativa triggers,Om rätt matchar positiv OCH negativ trigger för samma cuisine: Cuisine-tagg sätts EJ,HÖG
IMP-07,Case-sensitivity,All matching är case-insensitive. Normalisera till lowercase före jämförelse.,MEDIUM
IMP-08,Pluralformer,Ingredienser ska matcha oavsett plural: 'tomat' matchar 'tomater'. Använd stemming eller alias.,MEDIUM
IMP-09,Aktiv tid vs total tid,"activeTime = tid du faktiskt arbetar. totalTime = activeTime + passiv tid (marinering, jäsning, ugn).",MEDIUM
IMP-10,Okänd property på känd ingrediens,Om ingrediens är känd men saknar en specifik property: behandla som property=false (ej UNKNOWN),KRITISK
IMP-11,Vardagsmat - vanliga råvaror,"Vanliga råvaror = ingredienser tillgängliga i normal matbutik året runt, pris < 200 kr/kg",LÅG
IMP-12,Lyxiga ingredienser,"Premium-ingredienser: oxfilé, hummer, kaviar, tryffel, foie gras, ostron, saffran (>0.5g), wagyu",LÅG
