Feature ID,Feature Name,Area,Test Coverage,User Story,Notes
AUTH-01,Email/password sign-in,Auth & Onboarding,Verified,"Returning user logs in with email + password to reach their account",
AUTH-02,Email/password registration,Auth & Onboarding,Verified,"New user creates an account with email, password and display name",
AUTH-03,Password reset email,Auth & Onboarding,Partial,"User who forgot their password requests a reset link by email","No dedicated reset-flow widget test"
AUTH-04,Sign-out (manual/inactivity/forced),Auth & Onboarding,Verified,"User is securely signed out by action, inactivity, or invalid session",
AUTH-05,Email-verification gate,Auth & Onboarding,Untested,"New user verifies their email (and can resend) to unlock the app","Gate UI untested"
AUTH-06,GDPR age gate (under-15 block),Auth & Onboarding,Verified,"Minors under 15 are blocked at signup for GDPR Art. 8 compliance",
AUTH-07,Onboarding allergen & dietary selection,Auth & Onboarding,Verified,"New user picks allergens/diets so recipes are filtered from day one",
AUTH-08,Onboarding completion & resume,Auth & Onboarding,Verified,"Onboarding remembers progress and lands the user on a populated app",
AUTH-09,Change password,Auth & Onboarding,Verified,"Signed-in user changes password after confirming the current one",
AUTH-10,Change email,Auth & Onboarding,Verified,"Signed-in user changes account email (verify-before-update)",
AUTH-11,Multi-factor authentication (SMS),Auth & Onboarding,Untested,"User adds a phone-based second factor to protect their account","SECURITY — no test on enroll/unenroll/challenge"
AUTH-12,GDPR consent management,Auth & Onboarding,Verified,"User grants/revokes consent for analytics, marketing, social, push",
AUTH-13,GDPR data export,Auth & Onboarding,Verified,"User exports all personal data as JSON (data portability)",
AUTH-14,Account deletion (client trigger),Auth & Onboarding,Untested,"User permanently deletes their account (GDPR right to erasure)","COMPLIANCE — client path untested (server cascade ENG-23 is tested)"
REC-01,Browse recipe collection (list/grid),Recipe Management,Partial,"Home cook browses saved recipes in list or grid to find something to cook","No view-level test (toggle/scroll/pagination)"
REC-02,Recipe search with history,Recipe Management,Partial,"Home cook searches recipes by text and reuses recent searches",
REC-03,Multi-criteria filtering + sort,Recipe Management,Partial,"Home cook filters by time, meal, rating, allergens, diet, tags, pantry","SAFETY — allergen-free filtering needs dedicated assertions"
REC-04,Favorite toggle,Recipe Management,Partial,"Home cook marks recipes as favorites to find loved recipes quickly",
REC-05,Swipe-to-edit / swipe-to-delete,Recipe Management,Partial,"Home cook swipes a card to quickly edit or delete it","Gesture behavior not in a widget test"
REC-06,Bulk selection + bulk actions,Recipe Management,Partial,"Home cook selects multiple recipes to share, tag, add-to-menu or delete",
REC-07,Quick capture (title only),Recipe Management,Untested,"Busy cook instantly saves just a recipe name to capture an idea","No test for view or VM"
REC-08,Add-recipe hub,Recipe Management,Untested,"Home cook sees all the ways to add a recipe in one screen","No widget test"
REC-09,Manual recipe entry (create),Recipe Management,Partial,"Home cook writes a recipe from scratch with full detail","View-level form interaction untested"
REC-10,Edit recipe,Recipe Management,Partial,"Recipe owner edits any field of an existing recipe","No EditRecipeView widget test"
REC-11,Recipe detail view,Recipe Management,Partial,"Home cook sees a full recipe page with image, steps and actions","Reasonably covered"
REC-12,Cook-snap gallery (recipe surface),Recipe Management,Untested,"Cook attaches photos of the cooked dish on the recipe page","Same feature as SOC-16; untested at this surface"
REC-13,Re-extract recipe from source,Recipe Management,Verified,"Cook re-parses a recipe from its captured source after a bad parse",
REC-14,Personal tags & collections,Recipe Management,Partial,"Home cook creates and automates personal tags (collections)","View untested"
REC-15,Tag detail + automation rules,Recipe Management,Partial,"Home cook defines rules that auto-apply a tag to matching recipes","View untested"
IMP-01,URL import (single + batch),Recipe Import,Verified,"Home cook pastes one or several recipe links to import them",
IMP-02,Recipe-index (listing-page) expansion,Recipe Import,Partial,"User pasting a category page imports every recipe it links to","No dedicated expander test"
IMP-03,Smart (unified) import,Recipe Import,Verified,"User pastes a URL or text and the app figures out what to do",
IMP-04,Photo / OCR import (multi-page),Recipe Import,Verified,"User photographs cookbook pages to digitize heirloom recipes",
IMP-05,Text / paste import,Recipe Import,Verified,"User pastes recipe text from anywhere and it gets structured",
IMP-06,Receive-share (share intent),Recipe Import,Untested,"User shares a link/text from another app and it's routed to import","No dedicated test; real-world entry point"
IMP-07,Social-media URL extraction,Recipe Import,Partial,"User pulls recipe text out of an Instagram/TikTok/YouTube post","Instagram/TikTok pipelines untested"
IMP-08,File import (CSV/Excel),Recipe Import,Verified,"User uploads a spreadsheet of recipes and picks which to import",
IMP-09,Import from archive (restore),Recipe Import,Partial,"Returning user re-imports recipes they previously archived",
IMP-10,Assisted import wizard,Recipe Import,Partial,"User taps which lines are ingredients vs instructions for messy content","No dedicated assisted-import VM test"
IMP-11,Ingredient-line parsing (CRF/NER/ONNX),Recipe Import,Partial,"Ingredient lines split into quantity/unit/name for scaling and lists","Engine view in ENG-09"
IMP-12,Voice recipe import (Tala in recept),Recipe Import,Verified,"User dictates a recipe in three guided sections; on-device Swedish transcription feeds the normal import review","kb-whisper roadmap #2, shipped 2026-07-13; VM+widget+strategy+assembler tests; direction B UI (Malin's pick); real-device dictation check pending"
MENU-01,Generate weekly menu from prompt,Menu & Shopping,Verified,"Planner types a request and gets a full week auto-distributed",
MENU-02,Manual menu placement mode,Menu & Shopping,Verified,"Planner hand-places each generated recipe onto specific days",
MENU-03,Edit weekly menu calendar,Menu & Shopping,Verified,"Planner adds, drags and removes recipes on the week grid",
MENU-04,Bulk move + copy week to next,Menu & Shopping,Verified,"Planner bulk-moves entries and copies this week into next",
